player,team,macth_up,game_date,w_l,min,pts,fgm,fga,fg_p,pm_3,pa_3,p_3,ftm,fta,ft+p,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_min
ALYSSA THOMAS,CON,CON vs. LVA,9/18/22,L,40,11,5,9,55.6,0,0,0,1,2,50,4,6,10,11,2,2,4,1,-7
DEARICA HAMBY,LVA,LVA @ CON,9/18/22,W,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3
ODYSSEY SIMS,CON,CON vs. LVA,9/18/22,L,3,1,0,1,0,0,0,0,1,2,50,0,0,0,0,0,0,1,0,1
DIJONAI CARRINGTON,CON,CON vs. LVA,9/18/22,L,9,0,0,2,0,0,1,0,0,0,0,0,1,1,1,0,0,2,1,-3
KIAH STOKES,LVA,LVA @ CON,9/18/22,W,27,2,1,1,100,0,0,0,0,0,0,1,4,5,0,1,0,1,3,2
BRIONNA JONES,CON,CON vs. LVA,9/18/22,L,18,11,4,6,66.7,0,0,0,3,4,75,0,0,0,1,0,0,3,3,-1
NATISHA HIEDEMAN,CON,CON vs. LVA,9/18/22,L,29,6,1,8,12.5,1,4,25,3,4,75,1,0,1,3,1,0,0,1,-10
DEWANNA BONNER,CON,CON vs. LVA,9/18/22,L,36,12,4,11,36.4,1,3,33.3,3,3,100,0,8,8,2,1,0,2,5,-5
RIQUNA WILLIAMS,LVA,LVA @ CON,9/18/22,W,22,17,6,11,54.5,5,9,55.6,0,0,0,0,2,2,0,2,0,1,2,8
KELSEY PLUM,LVA,LVA @ CON,9/18/22,W,33,15,5,12,41.7,3,7,42.9,2,2,100,0,1,1,3,3,0,5,2,13
JONQUEL JONES,CON,CON vs. LVA,9/18/22,L,29,13,5,8,62.5,2,2,100,1,1,100,3,5,8,0,1,2,1,4,-4
JACKIE YOUNG,LVA,LVA @ CON,9/18/22,W,37,13,4,14,28.6,0,6,0,5,6,83.3,1,4,5,8,2,0,1,2,5
COURTNEY WILLIAMS,CON,CON vs. LVA,9/18/22,L,36,17,7,18,38.9,2,3,66.7,1,2,50,1,5,6,1,2,1,2,3,-6
A'JA WILSON,LVA,LVA @ CON,9/18/22,W,40,11,4,13,30.8,0,1,0,3,6,50,2,12,14,1,2,2,1,2,7
CHELSEA GRAY,LVA,LVA @ CON,9/18/22,W,37,20,9,13,69.2,2,3,66.7,0,0,0,0,5,5,6,1,1,2,3,3
JOYNER HOLMES,CON,CON vs. LVA,9/15/22,W,3,2,0,0,0,0,0,0,2,2,100,1,1,2,0,1,0,0,0,6
ODYSSEY SIMS,CON,CON vs. LVA,9/15/22,W,7,4,2,3,66.7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
THERESA PLAISANCE,LVA,LVA @ CON,9/15/22,L,4,0,0,2,0,0,2,0,0,0,0,0,2,2,0,0,1,0,1,-11
RIQUNA WILLIAMS,LVA,LVA @ CON,9/15/22,L,12,3,1,3,33.3,1,3,33.3,0,0,0,0,0,0,0,0,0,1,1,-29
DEARICA HAMBY,LVA,LVA @ CON,9/15/22,L,12,2,1,1,100,0,0,0,0,2,0,0,0,0,1,0,0,1,1,-17
ILIANA RUPERT,LVA,LVA @ CON,9/15/22,L,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-11
SYDNEY COLSON,LVA,LVA @ CON,9/15/22,L,4,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,-11
KIERSTAN BELL,LVA,LVA @ CON,9/15/22,L,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11
NIA CLOUDEN,CON,CON vs. LVA,9/15/22,W,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
AISHA SHEPPARD,LVA,LVA @ CON,9/15/22,L,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,-11
ALYSSA THOMAS,CON,CON vs. LVA,9/15/22,W,34,16,8,14,57.1,0,0,0,0,1,0,3,12,15,11,2,1,3,3,22
KIAH STOKES,LVA,LVA @ CON,9/15/22,L,24,2,1,2,50,0,0,0,0,0,0,1,6,7,0,0,2,0,3,-1
BRIONNA JONES,CON,CON vs. LVA,9/15/22,W,20,8,4,8,50,0,0,0,0,0,0,0,3,3,1,1,0,1,2,8
DIJONAI CARRINGTON,CON,CON vs. LVA,9/15/22,W,12,12,3,7,42.9,1,2,50,5,5,100,0,0,0,0,2,0,0,1,11
COURTNEY WILLIAMS,CON,CON vs. LVA,9/15/22,W,28,11,5,10,50,1,3,33.3,0,0,0,0,3,3,2,1,1,1,5,18
CHELSEA GRAY,LVA,LVA @ CON,9/15/22,L,33,11,4,7,57.1,3,4,75,0,0,0,0,2,2,7,1,0,4,0,-7
JONQUEL JONES,CON,CON vs. LVA,9/15/22,W,25,20,8,12,66.7,1,1,100,3,3,100,3,2,5,4,0,0,0,4,16
KELSEY PLUM,LVA,LVA @ CON,9/15/22,L,31,17,5,12,41.7,2,4,50,5,5,100,1,5,6,6,0,0,3,1,-11
JACKIE YOUNG,LVA,LVA @ CON,9/15/22,L,31,22,7,15,46.7,5,10,50,3,3,100,0,2,2,2,0,0,2,3,-7
NATISHA HIEDEMAN,CON,CON vs. LVA,9/15/22,W,34,14,5,7,71.4,3,3,100,1,2,50,0,3,3,9,1,0,2,2,32
DEWANNA BONNER,CON,CON vs. LVA,9/15/22,W,34,18,8,15,53.3,2,6,33.3,0,0,0,3,3,6,5,2,0,2,1,24
A'JA WILSON,LVA,LVA @ CON,9/15/22,L,36,19,8,14,57.1,0,1,0,3,5,60,1,3,4,3,2,3,0,1,-18
ODYSSEY SIMS,CON,CON @ LVA,9/13/22,L,9,3,1,3,33.3,1,2,50,0,0,0,0,1,1,1,0,0,0,1,-9
NIA CLOUDEN,CON,CON @ LVA,9/13/22,L,5,4,1,3,33.3,1,2,50,1,1,100,0,0,0,0,0,0,0,2,1
ILIANA RUPERT,LVA,LVA vs. CON,9/13/22,W,1,3,1,1,100,1,1,100,0,0,0,0,0,0,0,0,0,0,1,1
DIJONAI CARRINGTON,CON,CON @ LVA,9/13/22,L,13,3,0,4,0,0,1,0,3,4,75,0,1,1,0,0,0,0,2,-10
NATISHA HIEDEMAN,CON,CON @ LVA,9/13/22,L,15,0,0,3,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,-2
THERESA PLAISANCE,LVA,LVA vs. CON,9/13/22,W,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-6
AISHA SHEPPARD,LVA,LVA vs. CON,9/13/22,W,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
KIERSTAN BELL,LVA,LVA vs. CON,9/13/22,W,2,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,-6
JOYNER HOLMES,CON,CON @ LVA,9/13/22,L,3,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4
SYDNEY COLSON,LVA,LVA vs. CON,9/13/22,W,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
CHELSEA GRAY,LVA,LVA vs. CON,9/13/22,W,32,21,9,16,56.3,2,6,33.3,1,2,50,0,3,3,8,3,0,4,2,13
A'JA WILSON,LVA,LVA vs. CON,9/13/22,W,37,26,10,13,76.9,0,1,0,6,8,75,0,10,10,0,0,1,0,1,18
KELSEY PLUM,LVA,LVA vs. CON,9/13/22,W,35,20,7,13,53.8,1,6,16.7,5,5,100,1,2,3,7,1,0,1,2,14
JONQUEL JONES,CON,CON @ LVA,9/13/22,L,30,16,6,11,54.5,1,3,33.3,3,4,75,2,9,11,3,0,0,4,1,-10
BRIONNA JONES,CON,CON @ LVA,9/13/22,L,26,12,3,4,75,0,0,0,6,10,60,1,6,7,3,3,0,2,3,-8
COURTNEY WILLIAMS,CON,CON @ LVA,9/13/22,L,33,18,9,17,52.9,0,2,0,0,0,0,1,1,2,5,0,1,0,2,-9
ALYSSA THOMAS,CON,CON @ LVA,9/13/22,L,34,13,6,9,66.7,0,0,0,1,2,50,1,2,3,4,2,0,1,4,-12
JACKIE YOUNG,LVA,LVA vs. CON,9/13/22,W,31,5,2,6,33.3,1,3,33.3,0,0,0,0,6,6,2,0,0,2,2,16
DEWANNA BONNER,CON,CON @ LVA,9/13/22,L,32,2,1,9,11.1,0,3,0,0,0,0,1,6,7,2,0,1,0,1,-15
DEARICA HAMBY,LVA,LVA vs. CON,9/13/22,W,18,3,1,3,33.3,0,1,0,1,2,50,0,4,4,2,0,1,0,3,16
KIAH STOKES,LVA,LVA vs. CON,9/13/22,W,22,2,1,2,50,0,0,0,0,0,0,1,5,6,1,0,1,0,2,-3
RIQUNA WILLIAMS,LVA,LVA vs. CON,9/13/22,W,17,5,2,8,25,1,7,14.3,0,0,0,0,1,1,0,1,0,0,0,12
A'JA WILSON,LVA,LVA vs. CON,9/11/22,W,38,24,6,11,54.5,0,2,0,12,14,85.7,2,9,11,0,2,4,2,3,7
ILIANA RUPERT,LVA,LVA vs. CON,9/11/22,W,5,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,-7
ODYSSEY SIMS,CON,CON @ LVA,9/11/22,L,11,0,0,3,0,0,0,0,0,0,0,0,2,2,1,0,0,1,1,-3
RIQUNA WILLIAMS,LVA,LVA vs. CON,9/11/22,W,18,3,1,6,16.7,1,4,25,0,0,0,0,0,0,0,0,0,0,1,1
